"","az","date","senat","kammer_txt","richter_txt","anordnung","link"
"4416","2 BvR 2178/04",2004-12-08,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041208_2bvr217804.html"
"4418","1 BvR 2526/04",2004-12-07,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041207_1bvr252604.html"
"4423","1 BvR 1750/03",2004-11-30,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041130_1bvr175003.html"
"4424","2 BvR 1034/02",2004-11-29,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041129_2bvr103402.html"
"4425","1 BvR 2459/04",2004-11-25,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041125_1bvr245904.html"
"4426","1 BvR 1203/04",2004-11-24,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041124_1bvr120304.html"
"4427","1 BvR 1306/02",2004-11-24,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041124_1bvr130602.html"
"4428","1 BvR 2516/04",2004-11-24,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20041124_1bvr251604.html"
"4431","1 BvR 2315/04",2004-11-18,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041118_1bvr231504.html"
"4432","2 BvL 10/02",2004-11-17,"2","2","Jentsch,Broß,Lübbe-Wolff",0,"http://www.bverfg.de/e/lk20041117_2bvl001002.html"
"4433","2 BvL 18/02",2004-11-17,"2","2","Jentsch,Broß,Lübbe-Wolff",0,"http://www.bverfg.de/e/lk20041117_2bvl001802.html"
"4434","2 BvR 2004/04",2004-11-16,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041116_2bvr200404.html"
"4435","1 BvR 179/03",2004-11-10,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041110_1bvr017903.html"
"4437","1 BvR 2095/04",2004-11-08,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041108_1bvr209504.html"
"4438","1 BvR 2323/04",2004-10-29,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041029_1bvr232304.html"
"4439","1 BvR 2292/04",2004-10-27,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20041027_1bvr229204.html"
"4440","1 BvR 1726/01",2004-10-26,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20041026_1bvr172601.html"
"4445","1 BvR 1437/02",2004-10-25,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20041025_1bvr143702.html"
"4446","1 BvR 528/04",2004-10-22,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20041022_1bvr052804.html"
"4447","1 BvR 1944/01",2004-10-22,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20041022_1bvr194401.html"
"4448","1 BvR 117/03",2004-10-20,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041020_1bvr011703.html"
"4449","1 BvR 1356/02",2004-10-20,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041020_1bvr135602.html"
"4450","2 BvR 779/04",2004-10-19,"2","2","Jentsch,Broß,Lübbe-Wolff",0,"http://www.bverfg.de/e/rk20041019_2bvr077904.html"
"4451","2 BvR 1453/04",2004-10-18,"2","1","Broß,DiFabio,Gerhardt",0,"http://www.bverfg.de/e/rk20041018_2bvr145304.html"
"4452","2 BvR 1802/04",2004-10-15,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041015_2bvr180204.html"
"4455","1 BvR 702/03",2004-10-08,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20041008_1bvr070203.html"
"4456","1 BvR 414/04",2004-10-06,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041006_1bvr041404.html"
"4457","1 BvR 2221/03",2004-10-01,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041001_1bvr222103.html"
"4458","1 BvR 1418/04",2004-09-30,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040930_1bvr141804.html"
"4459","1 BvR 1281/04",2004-09-29,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040929_1bvr128104.html"
"4460","1 BvQ 39/04",2004-09-27,"1","3","Papier,Steiner,Hohmann-Dennhardt",1,"http://www.bverfg.de/e/qk20040927_1bvq003904.html"
"4461","2 BvR 2023/03",2004-09-21,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20040921_2bvr202303.html"
"4462","1 BvR 487/04",2004-09-15,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040915_1bvr048704.html"
"4463","1 BvR 1924/04",2004-09-15,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040915_1bvr192404.html"
"4464","1 BvR 1191/03",2004-09-10,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040910_1bvr119103.html"
"4465","2 BvR 86/03",2004-09-08,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20040908_2bvr008603.html"
"4466","1 BvR 252/02",2004-09-02,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20040902_1bvr025202.html"
"4467","1 BvR 1860/02",2004-09-02,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20040902_1bvr186002.html"
"4468","1 BvR 1962/04",2004-09-02,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040902_1bvr196204.html"
"4469","1 BvQ 36/04",2004-08-31,"1","1","Papier,Steiner,Hoffmann-Riem",1,"http://www.bverfg.de/e/qk20040831_1bvq003604.html"
"4470","1 BvR 285/01",2004-08-31,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040831_1bvr028501.html"
"4471","1 BvR 2073/03",2004-08-31,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040831_1bvr207303.html"
"4472","1 BvR 1506/04",2004-08-27,"1","2","Jaeger,Haas,Bryde",0,"http://www.bverfg.de/e/rk20040827_1bvr150604.html"
"4473","1 BvR 1446/04",2004-08-26,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040826_1bvr144604.html"
"4474","1 BvR 1858/04",2004-08-18,"1","2","Hömig,Hoffmann-Riem,Bryde",0,"http://www.bverfg.de/e/rk20040818_1bvr185804.html"
"4475","1 BvR 378/00",2004-08-17,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040817_1bvr037800.html"
"4476","1 BvR 1493/04",2004-08-17,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040817_1bvr149304.html"
"4477","1 BvR 725/03",2004-08-14,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040814_1bvr072503.html"
"4478","1 BvR 1249/04",2004-08-14,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040814_1bvr124904.html"
"4479","1 BvR 2338/03",2004-08-14,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040814_1bvr233803.html"
"4480","2 BvQ 34/04",2004-08-10,"2","2","Jentsch,Broß,Lübbe-Wolff",1,"http://www.bverfg.de/e/qk20040810_2bvq003404.html"
"4482","1 BvQ 28/04",2004-08-04,"1","1","Papier,Haas,Hoffmann-Riem",1,"http://www.bverfg.de/e/qk20040804_1bvq002804.html"
"4483","1 BvR 698/03",2004-08-04,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040804_1bvr069803.html"
"4484","1 BvR 1076/04",2004-08-04,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040804_1bvr107604.html"
"4485","1 BvR 1078/04",2004-08-04,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040804_1bvr107804.html"
